initial_value,bif_time
"0.2,4",836
"0.2,4.5",864
"0.2,5",886
"0.2,5.5",904
"0.2,6",918
"0.2,6.5",930
"0.2,7",940
"0.2,7.5",949
"0.2,8",956
"0.2,8.5",963
"0.4,4",823
"0.4,4.5",855
"0.4,5",879
"0.4,5.5",898
"0.4,6",913
"0.4,6.5",926
"0.4,7",937
"0.4,7.5",946
"0.4,8",954
"0.4,8.5",961
"0.6,4",809
"0.6,4.5",844
"0.6,5",871
"0.6,5.5",892
"0.6,6",908
"0.6,6.5",922
"0.6,7",934
"0.6,7.5",943
"0.6,8",951
"0.6,8.5",958
"0.8,4",793
"0.8,4.5",833
"0.8,5",862
"0.8,5.5",885
"0.8,6",903
"0.8,6.5",918
"0.8,7",930
"0.8,7.5",940
"0.8,8",949
"0.8,8.5",956
"1,4",776
"1,4.5",820
"1,5",852
"1,5.5",877
"1,6",897
"1,6.5",913
"1,7",926
"1,7.5",937
"1,8",946
"1,8.5",954
"1.2,4",755
"1.2,4.5",805
"1.2,5",842
"1.2,5.5",869
"1.2,6",891
"1.2,6.5",908
"1.2,7",922
"1.2,7.5",933
"1.2,8",943
"1.2,8.5",951
"1.4,4",731
"1.4,4.5",789
"1.4,5",830
"1.4,5.5",860
"1.4,6",884
"1.4,6.5",902
"1.4,7",917
"1.4,7.5",930
"1.4,8",940
"1.4,8.5",949
"1.6,4",703
"1.6,4.5",770
"1.6,5",817
"1.6,5.5",851
"1.6,6",876
"1.6,6.5",896
"1.6,7",913
"1.6,7.5",926
"1.6,8",937
"1.6,8.5",946
"1.8,4",671
"1.8,4.5",749
"1.8,5",802
"1.8,5.5",840
"1.8,6",868
"1.8,6.5",890
"1.8,7",907
"1.8,7.5",922
"1.8,8",933
"1.8,8.5",943
"2,4",631
"2,4.5",725
"2,5",785
"2,5.5",828
"2,6",859
"2,6.5",883
"2,7",902
"2,7.5",917
"2,8",930
"2,8.5",940
